P1	P2	P3	Dstatistic	Z-score	p-value	f4-ratio	BBAA	ABBA	BABA
S06	S07	S01	0.0932642	1.38945	0.164697	0.000208402	70070.2	211	175
S06	S08	S01	0.0253773	1.51366	0.130111	0.000824926	19842.5	2878.88	2736.38
S01	S06	S09	0.00100396	0.0878644	0.929984	5.29826e-05	11438	4736	4726.5
S01	S06	S10	0.00904835	0.759616	0.447484	0.000479013	11441.8	4795.25	4709.25
S01	S06	S11	0.00680455	0.494131	0.621214	0.000330172	15093.2	4212.25	4155.31
S06	S01	S12	0.2104	6.76601	1.32381e-11	0.00451254	31174.5	2403.25	1567.75
S06	S01	S13	0.27341	9.19048	2.3e-16	0.00566133	30712.2	2670.5	1523.75
S06	S01	S14	0.416187	19.9556	2.3e-16	0.0151657	26533.4	4621.06	1905
S06	S01	S15	0.272716	9.23456	2.3e-16	0.00567525	30718	2671.75	1526.75
S06	S01	S16	0.275668	9.42683	2.3e-16	0.00576503	30707	2691.5	1528.25
S06	S01	S17	0.0502173	1.70128	0.0888907	0.000662625	33353	1419.5	1283.75
S06	S01	S18	0.04798	1.62644	0.103857	0.000632841	33334	1417	1287.25
S06	S01	S19	0.0483141	1.63962	0.101083	0.000636549	33335	1418.5	1287.75
S07	S08	S01	0.0191049	1.2039	0.228627	0.000616652	19903.5	2840.5	2734
S01	S07	S09	0.00502805	0.453523	0.650172	0.000264913	11447.2	4747.25	4699.75
S01	S07	S10	0.0131773	1.14578	0.251888	0.00069624	11449	4805.5	4680.5
S01	S07	S11	0.0116333	0.888164	0.374453	0.000563214	15099.8	4223	4125.88
S07	S01	S12	0.206515	6.49367	8.3769e-11	0.00443456	31205.5	2398.25	1577.25
S07	S01	S13	0.268068	9.08654	2.3e-16	0.00553982	30731.5	2653.75	1531.75
S07	S01	S14	0.412508	20.1298	2.3e-16	0.0149874	26543	4594.62	1911
S07	S01	S15	0.268287	9.11403	2.3e-16	0.00556805	30737.2	2655	1531.75
S07	S01	S16	0.270665	9.31502	2.3e-16	0.00564799	30726.2	2674.75	1535.25
S07	S01	S17	0.0456485	1.48228	0.138266	0.000600427	33378.2	1408.75	1285.75
S07	S01	S18	0.0435508	1.42928	0.152925	0.000573127	33360.8	1407.75	1290.25
S07	S01	S19	0.0437118	1.43721	0.150658	0.000574512	33361.2	1408.75	1290.75
S01	S08	S09	0.0163753	1.07432	0.282678	0.000864453	11509.2	4810.25	4655.25
S01	S08	S10	0.0231156	1.62516	0.104129	0.00121703	11492	4835.5	4617
S01	S08	S11	0.0201934	1.26749	0.20498	0.000976382	15165.2	4253.25	4084.88
S08	S01	S12	0.231388	9.03381	2.3e-16	0.00496668	31361.8	2448	1528
S08	S01	S13	0.291187	11.075	2.3e-16	0.00595579	30859.8	2675.5	1468.75
S08	S01	S14	0.430217	24.7608	2.3e-16	0.0155082	26673	4618.12	1839.81
S08	S01	S15	0.286541	11.2027	2.3e-16	0.00588714	30855.8	2667	1479
S08	S01	S16	0.289845	11.201	2.3e-16	0.00597194	30839.8	2681.75	1476.5
S08	S01	S17	0.0757534	2.59069	0.00957841	0.000996654	33526.2	1450.25	1246
S08	S01	S18	0.0711367	2.43135	0.0150428	0.000933738	33501.2	1441.75	1250.25
S08	S01	S19	0.0714551	2.44268	0.0145787	0.000936893	33502.2	1443.25	1250.75
S10	S09	S01	0.015885	0.460891	0.644877	0.000117008	49058.7	671.5	650.5
S11	S09	S01	0.699051	53.2048	2.3e-16	0.0230094	39779.4	5136.12	909.75
S09	S01	S12	0.293819	12.6646	2.3e-16	0.00840413	25499.1	3439.38	1877.25
S09	S01	S13	0.350669	14.3827	2.3e-16	0.00966433	25115.5	3785.25	1819.75
S09	S01	S14	0.524266	35.6244	2.3e-16	0.024271	21578.5	6377.62	1990.5
S09	S01	S15	0.342897	15.2495	2.3e-16	0.00947161	25091	3756.25	1838
S09	S01	S16	0.345751	14.8812	2.3e-16	0.0095765	25079	3775	1835.25
S09	S01	S17	0.0629234	2.44449	0.0145056	0.0011782	27261.8	2039.75	1798.25
S09	S01	S18	0.0641975	2.53795	0.0111503	0.00120403	27252.8	2047.25	1800.25
S09	S01	S19	0.0642857	2.53472	0.0112537	0.00120425	27253.8	2048.75	1801.25
S11	S10	S01	0.810675	78.9341	2.3e-16	0.022895	58246.4	4696.44	491.062
S10	S01	S12	0.295783	12.4974	2.3e-16	0.00834879	25437.8	3399	1847.25
S10	S01	S13	0.352613	16.3471	2.3e-16	0.00963755	25068.5	3759.25	1799.25
S10	S01	S14	0.524751	36.1647	2.3e-16	0.024186	21530.8	6350.88	1979.5
S10	S01	S15	0.347497	16.9844	2.3e-16	0.00950952	25048	3734.25	1808.25
S10	S01	S16	0.35043	16.5922	2.3e-16	0.00961317	25035	3752	1804.75
S10	S01	S17	0.0593456	2.12499	0.0335874	0.00109292	27200.2	1999.25	1775.25
S10	S01	S18	0.0614267	2.26035	0.0237994	0.00113342	27193.2	2008.75	1776.25
S10	S01	S19	0.0615182	2.25737	0.0239847	0.00113378	27194.2	2010.25	1777.25
S01	S11	S12	0.248804	8.65004	2.3e-16	0.0133673	21552.7	6183.06	3719.31
S01	S11	S13	0.0454523	1.86089	0.062759	0.00201546	21366.4	4668.5	4262.56
S11	S01	S14	0.25354	9.95078	2.3e-16	0.0165776	18324.1	7349.62	4376.56
S01	S11	S15	0.0519751	2.24379	0.024846	0.0023083	21331.5	4686.19	4223.12
S01	S11	S16	0.0507065	2.17102	0.0299294	0.00225277	21308.1	4682.38	4230.44
S01	S11	S17	0.798204	65.9822	2.3e-16	0.065407	22688.3	15083.6	1692.69
S18	S11	S01	0.861867	177.169	2.3e-16	0.102507	30632.7	22660.3	1681.19
S19	S11	S01	0.861598	177.831	2.3e-16	0.102505	23713.1	22663.6	1684.94
S12	S13	S01	0.0925527	3.1249	0.00177865	0.00362011	53060.1	4305.75	3576.25
S12	S14	S01	0.527109	25.3524	2.3e-16	0.0340368	45752.9	9935.56	3076.69
S12	S15	S01	0.0933977	3.32169	0.000894735	0.00359777	53269.8	4243.75	3518.75
S12	S16	S01	0.0969749	3.26471	0.00109575	0.00375037	53234.9	4274.5	3518.75
S17	S12	S01	0.411015	12.1002	2.3e-16	0.01545	41150.2	5428	2265.75
